名称,数量,百分比
io.wren.wren-server,2,1.59
org.jgrapht.jgrapht-core,2,1.59
org.testcontainers.postgresql,2,1.59
io.airlift.units,2,1.59
org.testng.testng,2,1.59
com.google.code.findbugs.jsr305,2,1.59
org.jetbrains.annotations,2,1.59
io.airlift.testing,2,1.59
io.airlift.log,2,1.59
com.google.errorprone.error_prone_annotations,2,1.59
io.airlift.configuration,2,1.59
io.airlift.bootstrap,2,1.59
io.airlift.http-client,2,1.59
org.jdbi.jdbi3-bom,2,1.59
org.testcontainers.testcontainers-bom,2,1.59
io.airlift.json,2,1.59
io.airlift.jaxrs,2,1.59
io.opentelemetry.opentelemetry-sdk,2,1.59
io.airlift.slice,2,1.59
org.checkerframework.checker-qual,2,1.59
com.google.guava.failureaccess,2,1.59
io.airlift.stats,2,1.59
io.wren.trino-parser,2,1.59
io.airlift.node,2,1.59
org.antlr.antlr4-runtime,2,1.59
io.wren.wren-tests,2,1.59
io.airlift.trace-token,2,1.59
io.wren.wren-base,2,1.59
org.threeten.threetenbp,2,1.59
io.airlift.http-server,2,1.59
io.airlift.log-manager,2,1.59
com.google.protobuf.protobuf-java,2,1.59
org.apache.commons.commons-math3,2,1.59
io.quarkus.quarkus-container-image-jib,2,1.59
io.quarkus.quarkus-oidc,2,1.59
org.awaitility.awaitility,2,1.59
io.quarkus.quarkus-scheduler,2,1.59
org.fusesource.jansi.jansi,2,1.59
io.swagger.core.v3.swagger-models,2,1.59
io.modelcontextprotocol.sdk.mcp-spring-webflux,2,1.59
io.modelcontextprotocol.sdk.mcp-spring-webmvc,2,1.59
org.apache.tomcat.embed.tomcat-embed-core,2,1.59
org.springframework.spring-context,2,1.59
org.springframework.spring-webmvc,2,1.59
io.projectreactor.netty.reactor-netty-http,2,1.59
io.projectreactor.reactor-test,2,1.59
org.springframework.ai.spring-ai-mcp,2,1.59
org.springframework.ai.spring-ai-advisors-vector-store,2,1.59
org.springframework.boot.spring-boot-starter-oauth2-authorization-server,2,1.59
jakarta.websocket.jakarta.websocket-api,2,1.59
ghidra.softwaremodeling,2,1.59
ghidra.generic,2,1.59
ghidra.docking,2,1.59
ghidra.gui,2,1.59
ghidra.base,2,1.59
ghidra.utility,2,1.59
ghidra.project,2,1.59
ghidra.decompiler,2,1.59
com.github.docker-java.docker-java-transport-httpclient5,2,1.59
io.quarkus.quarkus-jackson,2,1.59
org.noear.solon-lib,2,1.59
org.noear.solon-web-servlet,2,1.59
org.noear.solon-test,2,1.59
org.noear.solon-logging-simple,2,1.59
org.noear.solon-ai-mcp,2,1.59
org.noear.solon-web-servlet-jakarta,2,1.59
org.noear.solon-web-vertx,2,1.59
org.noear.solon-web,2,1.59
org.noear.solon-ai,2,1.59
org.apache.httpcomponents.client5.httpclient5,2,1.59
org.mapstruct.mapstruct,2,1.59
com.fasterxml.jackson.datatype.jackson-datatype-jsr310,2,1.59
org.jolokia.jolokia-service-history,2,1.59
org.jolokia.jolokia-service-jsr160,2,1.59
org.jolokia.mcp.jolokia-mcp-core,2,1.59
org.jolokia.jolokia-service-notif-pull,2,1.59
org.jolokia.jolokia-service-discovery,2,1.59
org.jolokia.mcp.jolokia-mcp-server,2,1.59
org.jolokia.jolokia-service-notif-sse,2,1.59
org.eclipse.jetty.jetty-bom,2,1.59
org.jolokia.jolokia-json,2,1.59
org.jolokia.jolokia-service-jmx,2,1.59
org.jolokia.jolokia-service-serializer,2,1.59
