名称,数量,百分比
org.noear.nami.coder.hessian,1,0.79
org.noear.solon.proxy,1,0.79
org.noear.solon-boot-jetty-add-websocket,1,0.79
org.reactivestreams.reactive-streams,1,0.79
org.noear.solon-config-banner,1,0.79
org.noear.nacos-solon-cloud-plugin,1,0.79
org.noear.solon.boot.jdkhttp,1,0.79
org.apache.avro.avro,1,0.79
org.noear.grpc-solon-cloud-plugin,1,0.79
org.noear.jap-solon-plugin,1,0.79
org.noear.solon.boot.jetty.add.websocket,1,0.79
org.yaml.snakeyaml,1,0.79
org.noear.mybatis-pagehelper-solon-plugin,1,0.79
io.swagger.swagger-models,1,0.79
org.noear.solon-scheduling,1,0.79
org.noear.solon-health-detector,1,0.79
org.apache.maven.maven-core,1,0.79
org.noear.solon.scheduling.simple,1,0.79
jakarta.servlet.jsp.jakarta.servlet.jsp-api,1,0.79
org.noear.kubernetes-solon-cloud-plugin,1,0.79
org.noear.zookeeper-solon-cloud-plugin,1,0.79
org.noear.nami.coder.fastjson,1,0.79
org.noear.mybatis-flex-solon-plugin,1,0.79
org.dromara.solon-plugins.job-solon-plugin,1,0.79
cn.hutool.hutool-core,1,0.79
org.noear.nami-coder-snack3,1,0.79
org.noear.solon-security-validation,1,0.79
org.noear.minio-solon-cloud-plugin,1,0.79
org.noear.solon-web-cors,1,0.79
org.noear.solon.validation,1,0.79
org.noear.solon.view.jsp,1,0.79
org.noear.solon.view.thymeleaf,1,0.79
org.noear.solon-serialization-protostuff,1,0.79
org.noear.beetlsql-solon-plugin,1,0.79
com.jayway.jsonpath.json-path,1,0.79
org.noear.solon.boot.undertow,1,0.79
org.noear.fastdfs-solon-cloud-plugin,1,0.79
org.noear.feign-solon-plugin,1,0.79
org.noear.solon.boot.smarthttp,1,0.79
javax.servlet.jsp.jsp-api,1,0.79
org.noear.nami.coder.fury,1,0.79
org.noear.solon-view-enjoy,1,0.79
org.noear.quartz-solon-cloud-plugin,1,0.79
org.noear.pulsar-solon-cloud-plugin,1,0.79
org.noear.hasor-solon-plugin,1,0.79
com.ibeetl.beetl,1,0.79
org.noear.solon-security-auth,1,0.79
org.noear.solon-sessionstate-jedis,1,0.79
io.r2dbc.r2dbc-spi,1,0.79
org.noear.solon.boot.websocket,1,0.79
org.noear.solon.security.vault,1,0.79
org.noear.solon-logging,1,0.79
org.noear.socketd-transport-java-websocket,1,0.79
org.noear.activemq-solon-cloud-plugin,1,0.79
org.noear.solon.cloud.metrics,1,0.79
org.noear.solon-cloud-metrics,1,0.79
com.github.wujiuye.qps-helper,1,0.79
org.noear.solonx-licence,1,0.79
org.noear.solon-boot-jetty-add-jsp,1,0.79
org.noear.sms4j-solon-plugin,1,0.79
org.noear.solon.hotplug,1,0.79
org.noear.sureness-solon-plugin,1,0.79
org.noear.solon.data,1,0.79
org.noear.dbvisitor-solon-plugin,1,0.79
org.noear.solon.boot.jetty.add.jsp,1,0.79
org.noear.solon-ai-load-pdf,1,0.79
org.noear.solon.serialization,1,0.79
org.noear.dubbo-solon-plugin,1,0.79
org.noear.nami-channel-http-okhttp,1,0.79
org.noear.nami-coder-abc,1,0.79
org.noear.solon-serialization-hessian,1,0.79
org.noear.solon.web.staticfiles,1,0.79
org.noear.solon-ai-load-ppt,1,0.79
org.noear.solon-ai-search-baidu,1,0.79
org.noear.hibernate-solon-plugin,1,0.79
org.noear.solon-docs-openapi2-javadoc,1,0.79
org.noear.solon-data-shardingds,1,0.79
org.noear.solon-ai-repo-tcvectordb,1,0.79
org.noear.solon.serialization.jackson.xml,1,0.79
org.noear.solon-data-sqlutils,1,0.79
org.noear.quartz-solon-plugin,1,0.79
org.noear.seata-solon-plugin,1,0.79
org.noear.mybatis-plus-extension-solon-plugin,1,0.79
org.noear.solon-logging-logback,1,0.79
org.noear.solon-data,1,0.79
org.noear.weixin-java-qidian-solon-plugin,1,0.79
org.noear.solon.docs,1,0.79
org.apache.cxf.cxf-rt-frontend-jaxws,1,0.79
org.noear.solon-serialization-kryo,1,0.79
org.noear.nami.coder.protostuff,1,0.79
org.noear.nami,1,0.79
org.noear.solon-configuration-processor,1,0.79
org.noear.solon.boot.socketd,1,0.79
org.noear.solon-ai-repo-chroma,1,0.79
org.noear.liteflow-solon-plugin,1,0.79
org.noear.solon-serialization-fastjson,1,0.79
org.noear.solon-web-rx,1,0.79
org.eclipse.jetty.apache-jsp,1,0.79
org.noear.solon-swagger2-knife4j,1,0.79
org.eclipse.jetty.jetty-webapp,1,0.79
org.noear.solon-net-httputils,1,0.79
com.github.xiaoymin.knife4j-openapi2-ui,1,0.79
org.noear.solon.mvc,1,0.79
org.noear.solon-flow-eval-magic,1,0.79
io.smallrye.reactive.mutiny,1,0.79
org.noear.weixin-java-mp-solon-plugin,1,0.79
org.noear.opentracing-solon-cloud-plugin,1,0.79
org.noear.solon-admin-client,1,0.79
org.jboss.spec.javax.servlet.jsp.jboss-jsp-api_2.3_spec,1,0.79
org.dromara.solon-plugins.bee-solon-plugin,1,0.79
org.noear.activerecord-solon-plugin,1,0.79
org.noear.solon-openapi2-knife4j,1,0.79
org.noear.file-s3-solon-cloud-plugin,1,0.79
org.dromara.solon-plugins.orika-solon-plugin,1,0.79
org.eclipse.jetty.apache-jstl,1,0.79
org.noear.solon-flow-eval-aviator,1,0.79
org.noear.local-solon-cloud-plugin,1,0.79
org.noear.solon.data.dynamicds,1,0.79
org.noear.solon-ai-dialect-openai,1,0.79
org.noear.bean-searcher-solon-plugin,1,0.79
org.noear.solon-view-thymeleaf,1,0.79
org.noear.rocketmq-solon-cloud-plugin,1,0.79
org.noear.folkmq-solon-cloud-plugin,1,0.79
org.noear.solon.boot.undertow.add.jsp,1,0.79
org.noear.solon-cache-spymemcached,1,0.79
org.noear.graphql-solon-plugin,1,0.79
org.eclipse.jetty.websocket.websocket-server,1,0.79
org.noear.jedis-solon-cloud-plugin,1,0.79
org.noear.solon-view-beetl,1,0.79
org.noear.solon-boot,1,0.79
org.noear.solon.net.httputils,1,0.79
org.noear.solon.view.enjoy,1,0.79
org.noear.solon.web.sdl,1,0.79
org.noear.solonx-web-webservices,1,0.79
org.apache.maven.maven-archiver,1,0.79
org.noear.solon.view,1,0.79
org.noear.solon-boot-jetty,1,0.79
org.noear.luffy.executor.s.javascript,1,0.79
org.noear.orika-solon-plugin,1,0.79
org.noear.rabbitmq-solon-cloud-plugin,1,0.79
org.noear.weixin-java-miniapp-solon-plugin,1,0.79
org.noear.solon-ai-repo-pgvector,1,0.79
org.noear.dubbo3-solon-plugin,1,0.79
org.noear.solon.web.cors,1,0.79
org.noear.nami.coder.snack3,1,0.79
org.noear.solon.serialization.jackson,1,0.79
org.noear.solon-boot-smarthttp,1,0.79
org.dromara.solon-plugins.captcha-solon-plugin,1,0.79
org.noear.solon-flow,1,0.79
io.github.smartboot.socket.aio-pro,1,0.79
org.noear.java-websocket-ns,1,0.79
org.noear.nami.channel.http.okhttp,1,0.79
org.noear.redisson-solon-plugin,1,0.79
org.noear.mqtt-solon-cloud-plugin,1,0.79
org.noear.solon-ai-repo-dashvector,1,0.79
org.noear.solon.logging.logback,1,0.79
com.github.therapi.therapi-runtime-javadoc,1,0.79
org.noear.solon-view-freemarker,1,0.79
org.noear.solon.aot,1,0.79
org.noear.easypoi-wps-solon,1,0.79
org.redisson.redisson,1,0.79
org.apache.cxf.cxf-rt-transports-http,1,0.79
org.noear.forest-solon-plugin,1,0.79
org.noear.aws-s3-solon-cloud-plugin,1,0.79
org.dromara.solon-plugins.easypoi-solon-plugin,1,0.79
org.noear.solon.view.beetl,1,0.79
org.noear.solon-logging-log4j2,1,0.79
org.noear.weixin-java-pay-solon-plugin,1,0.79
io.r2dbc.r2dbc-pool,1,0.79
org.noear.consul-solon-cloud-plugin,1,0.79
org.noear.mybatis-solon-plugin,1,0.79
org.noear.solon-ai-dialect-dashscope,1,0.79
org.noear.solon.serialization.gson,1,0.79
org.noear.cron4j-solon-plugin,1,0.79
org.noear.solon-config-yaml,1,0.79
org.noear.solon-boot-websocket,1,0.79
org.noear.solon.health,1,0.79
org.noear.luffy-solon-plugin,1,0.79
org.noear.solon-serialization-abc,1,0.79
org.noear.pulsar2-solon-plugin,1,0.79
org.dromara.solon-plugins.drools-solon-plugin,1,0.79
net.openhft.chronicle-bytes,1,0.79
org.noear.solon.auth,1,0.79
org.noear.powerjob-solon-plugin,1,0.79
org.noear.easypoi-solon-plugin,1,0.79
org.noear.solon-web-stop,1,0.79
org.noear.snowflake-id-solon-cloud-plugin,1,0.79
org.noear.weed3,1,0.79
io.protostuff.protostuff-runtime,1,0.79
org.noear.weixin-java-cp-solon-plugin,1,0.79
org.noear.zipkin-solon-cloud-plugin,1,0.79
org.noear.solon.banner,1,0.79
org.noear.solon-boot-jdkhttp,1,0.79
cn.hutool.hutool-http,1,0.79
org.agrona.agrona,1,0.79
org.noear.solon-ai-repo-redis,1,0.79
org.noear.solon-web-webservices,1,0.79
org.noear.powerjob-solon-cloud-plugin,1,0.79
org.noear.etcd-solon-cloud-plugin,1,0.79
org.noear.solon-cache-jedis,1,0.79
io.protostuff.protostuff-core,1,0.79
org.noear.redisx,1,0.79
org.noear.solon-scheduling-quartz,1,0.79
org.noear.solon-admin-server-ui,1,0.79
io.vertx.vertx-core,1,0.79
org.noear.sqltoy-solon-plugin,1,0.79
org.noear.solon.vault,1,0.79
org.noear.solon-cloud,1,0.79
org.noear.solon.cloud.tracing,1,0.79
org.noear.thrift-solon-cloud-plugin,1,0.79
org.noear.nami.channel.http.hutool,1,0.79
org.jboss.metadata.jboss-metadata-web,1,0.79
org.noear.solon-ai-dialect-ollama,1,0.79
org.noear.solon.scheduling,1,0.79
com.squareup.javapoet,1,0.79
io.undertow.jastow.jastow,1,0.79
org.noear.nami.coder.jackson,1,0.79
org.hamcrest.hamcrest,1,0.79
org.noear.solon-data-dynamicds,1,0.79
org.eclipse.jetty.websocket.websocket-client,1,0.79
org.noear.solon.security.validation,1,0.79
org.noear.nami-coder-jackson,1,0.79
org.noear.solon-i18n,1,0.79
org.noear.solon-net-stomp,1,0.79
org.noear.minio7-solon-cloud-plugin,1,0.79
org.noear.solon-security-vault,1,0.79
org.noear.solon-serialization-jackson-xml,1,0.79
org.apache.maven.shared.maven-common-artifact-filters,1,0.79
org.noear.mqtt5-solon-cloud-plugin,1,0.79
org.noear.simplejavamail-solon-plugin,1,0.79
org.noear.solon-sessionstate-jwt,1,0.79
org.noear.solon.web.rx,1,0.79
org.noear.solon-test-junit4,1,0.79
org.noear.solon.boot.websocket.netty,1,0.79
org.noear.solon-ai-repo-milvus,1,0.79
org.noear.solon.serialization.fastjson,1,0.79
io.jsonwebtoken.jjwt-impl,1,0.79
org.noear.solon-view,1,0.79
org.thymeleaf.thymeleaf,1,0.79
org.quartz-scheduler.quartz,1,0.79
org.noear.solon.cache.caffeine,1,0.79
org.noear.solon.serialization.fury,1,0.79
org.noear.solon-docs-openapi2,1,0.79
io.netty.netty-all,1,0.79
org.noear.solon.config.yaml,1,0.79
org.noear.solon-ai-load-ddl,1,0.79
com.esotericsoftware.kryo,1,0.79
org.noear.aliyun-ons-solon-cloud-plugin,1,0.79
org.noear.nami-channel-socketd,1,0.79
org.noear.solon-serialization-properties,1,0.79
org.noear.solon.cache.redisson,1,0.79
org.noear.solon-boot-websocket-netty,1,0.79
org.noear.solon-ai-load-html,1,0.79
org.noear.solon.serialization.fastjson2,1,0.79
org.noear.solon-serialization,1,0.79
org.noear.solon-mvc,1,0.79
org.dromara.solon-plugins.mapstruct-plus-solon-plugin,1,0.79
com.squareup.okhttp3.okhttp-sse,1,0.79
com.github.mrmike.ok2curl,1,0.79
org.noear.solon-ai-repo-opensearch,1,0.79
org.noear.solon-health,1,0.79
org.noear.smart-http-server,1,0.79
org.noear.solon-cache-redisson,1,0.79
org.noear.weixin-java-open-solon-plugin,1,0.79
org.noear.solon.serialization.protostuff,1,0.79
org.noear.solon.sessionstate.local,1,0.79
org.noear.solon.web.stop,1,0.79
org.noear.solon-serialization-snack3,1,0.79
org.noear.solon-springboot-starter,1,0.79
org.noear.solon.logging,1,0.79
org.noear.jap-ids-solon-plugin,1,0.79
org.noear.solon-cache-caffeine,1,0.79
org.noear.solon-ai-flow,1,0.79
org.noear.nami.channel.socketd,1,0.79
org.noear.solon.view.velocity,1,0.79
org.apache.tomcat.embed.tomcat-embed-jasper,1,0.79
org.noear.lettuce-solon-plugin,1,0.79
org.noear.solon.cache.spymemcached,1,0.79
org.noear.kafka-solon-cloud-plugin,1,0.79
org.noear.solon.serialization.properties,1,0.79
org.noear.solon.security.auth,1,0.79
org.noear.solon-web-sdl,1,0.79
org.apache.dubbo.hessian-lite,1,0.79
org.noear.wood,1,0.79
org.noear.solon.cloud.eventplus,1,0.79
org.noear.solon.serialization.snack3,1,0.79
org.noear.liquor-eval,1,0.79
org.noear.sentinel-solon-cloud-plugin,1,0.79
org.noear.mybatis-sqlhelper-solon-plugin,1,0.79
org.noear.solon-hotplug,1,0.79
org.noear.water-solon-cloud-plugin,1,0.79
org.noear.guava-solon-cloud-plugin,1,0.79
org.noear.solon-serialization-gson,1,0.79
org.mapstruct.mapstruct-processor,1,0.79
org.noear.solon.cloud,1,0.79
org.noear.solon-web-staticfiles,1,0.79
org.noear.solon-faas-luffy,1,0.79
com.fasterxml.jackson.dataformat.jackson-dataformat-xml,1,0.79
org.noear.solon.web.sse,1,0.79
org.noear.solon-docs,1,0.79
org.noear.enjoy,1,0.79
org.noear.solon-web-gateway,1,0.79
org.noear.solon-proxy,1,0.79
io.github.kiryu1223.expressiontree,1,0.79
org.noear.solon-web-sse,1,0.79
org.noear.solon-net,1,0.79
org.noear.solon,1,0.79
org.noear.solon-web-webservices-jakarta,1,0.79
org.apache.velocity.velocity-engine-core,1,0.79
org.noear.solon.net,1,0.79
org.noear.jaeger-solon-cloud-plugin,1,0.79
org.noear.solon.docs.openapi2,1,0.79
io.undertow.undertow-servlet,1,0.79
org.noear.rocketmq5-solon-cloud-plugin,1,0.79
org.noear.solon.boot.jetty,1,0.79
org.apache.maven.plugin-tools.maven-plugin-annotations,1,0.79
org.noear.nami-coder-fastjson2,1,0.79
org.noear.nacos2-solon-cloud-plugin,1,0.79
org.noear.solon.boot.vertx,1,0.79
org.noear.sa-token-solon-plugin,1,0.79
org.springframework.modulith.spring-modulith-starter-test,1,0.79
org.springframework.boot.spring-boot-starter-json,1,0.79
org.springframework.modulith.spring-modulith-bom,1,0.79
org.apache.jena.jena-arq,1,0.79
org.springframework.modulith.spring-modulith-starter-core,1,0.79
com.github.victools.jsonschema-module-jakarta-validation,1,0.79
javax.validation.validation-api,1,0.79
com.baomidou.mybatis-plus-spring-boot3-starter,1,0.79
org.springframework.boot.spring-boot-autoconfigure-processor,1,0.79
com.ai.plug.server2mcp-autoconfigure,1,0.79
com.github.victools.jsonschema-module-javax-validation,1,0.79
com.ai.plug.server2mcp-common,1,0.79
com.ai.plug.server2mcp-core,1,0.79
com.github.victools.jsonschema-module-swagger-1.5,1,0.79
com.ai.plug.server2mcp-starter-webmvc,1,0.79
org.apache.logging.log4j.log4j-slf4j-impl,1,0.79
org.apache.poi.poi,1,0.79
org.apache.poi.poi-ooxml,1,0.79
org.springframework.ai.spring-ai-redis-store-spring-boot-starter,1,0.79
io.github.wolfraam.chessgame,1,0.79
com.fasterxml.classmate,1,0.79
com.github.alexandreroman.chessimage,1,0.79
