名称,数量,百分比
Express,971,11.68
FastAPI,340,4.09
React,272,3.27
Starlette,255,3.07
LangChain,138,1.66
Next.js,113,1.36
Transformers,83,1.00
Flask,66,0.79
Spring,55,0.66
Vue,33,0.40
Tornado,21,0.25
Gorilla,21,0.25
Gin,19,0.23
Quarkus,18,0.22
Axum,14,0.17
Jakarta EE,13,0.16
Svelte,10,0.12
NestJS,5,0.06
Koa,3,0.04
Actix,3,0.04
Django,3,0.04
Warp,2,0.02
Bottle,2,0.02
